#Nombre, pais, dedicacion (historico (1) investigacion (2)  divulgacion (3) ensenanza (4))  , descripcion (radio, optico), pagina, iau code, 
Gran Telescopio milimetrico, Mexico, 2, radio,http://lmtgtm.org/?lang=es, ,
HAWC Gamma-Ray Observatory , Mexico, 2, rayos gamma, https://www.hawc-observatory.org/, ,
Observatorio de Centelleo Interplanetario, Mexico, 2, radio, http://www.mexart.unam.mx/index.php, ,
Observatorio San Pedro Martir , mexico, 2, optico, , ,
Observatorio Astrofisico Guillermo Haro Cananea Sonora, Mexico, 2, optico, http://astro.inaoep.mx/observatorios/cananea/, ,
#Observatorio Astrofisico Nacional de Tonantzintla, Mexico, 2, optico, http://astro.inaoep.mx/observatorios/oanton/, ,
#Observatorio Astronomico de Quito, Ecuador, 4 , optico,  http://oaq.epn.edu.ec/ , ,
#Observatorio astronomico AFARI Region Junin, Peru, 3, optico, , ,
#Observaotrio astronomico de Trujillo region la libertad, Peru, 4, optico, , ,
#Observatorio astronomico municipal region cusco, Peru, 4, optico, , ,
#Observatorio astronomico OA-UNI Region Junin, Peru, 2, optico, , ,
#Estacion Solar de ICA region ICA, Peru, 4, optico, , ,
#Observatorio astronomico de cambrune, Peru, 2, optico, , ,
#Radio Observatorio de Jicamarca, Peru,2, radio, http://jro.igp.gob.pe/, ,
Observatorio nacional de Llano del hato merida, Venezuela, 2, optico, http://www.cida.gob.ve/, ,
Observatorio astronomico tarija bolivia, Bolivia, 1-2-3, optico, , ,
Observatorio astronomico los molinos, Uruguay, 2-3-4, optico, https://www.oalm.gub.uy/institucional.html,  ,
Observatorio astronomico Utp pereira, Colombia, 3-4, optico, https://observatorioastronomico.utp.edu.co/, ,
